"OriginalURL","CleanDomain","IP","TLD","IsValid","IsUSLikely","Status"
"https://www.ccpcusco.org/","ccpcusco.org","158.69.55.61","ccpcusco.org","True","False","Non-US (ccpcusco.org)"
"https://www.motherly-love.org/","motherly-love.org","185.230.63.107","motherly-love.org","True","False","Non-US (motherly-love.org)"
"haitiawake.org","haitiawake.org","198.49.23.145","haitiawake.org","True","False","Non-US (haitiawake.org)"
"http://amorexigente.org.br","amorexigente.org.br","104.21.10.153","amorexigente.org.br","True","False","Non-US (amorexigente.org.br)"
"graceandstpeters.org","graceandstpeters.org","185.230.63.107","graceandstpeters.org","True","False","Non-US (graceandstpeters.org)"
"www.krewedepink.org","krewedepink.org","198.185.159.145","krewedepink.org","True","False","Non-US (krewedepink.org)"
"http://www.naroomaoysterfestival.com","naroomaoysterfestival.com","149.28.170.114","naroomaoysterfestival.com","True","False","Non-US (naroomaoysterfestival.com)"
"http://klnetball.com","klnetball.com","3.106.112.254","klnetball.com","True","False","Non-US (klnetball.com)"
"kihk.org","kihk.org",,"kihk.org","True","False","Non-US (kihk.org)"
"bridgeofmission.org","bridgeofmission.org","50.63.179.248","bridgeofmission.org","True","False","Non-US (bridgeofmission.org)"
"http://mcf.ngo","mcf.ngo","198.54.116.25","mcf.ngo","True","False","Non-US (mcf.ngo)"
"http://www.sheppartonheritagecentre.com.au","sheppartonheritagecentre.com.au",,"sheppartonheritagecentre.com.au","True","False","Non-US (sheppartonheritagecentre.com.au)"
"http://www.elthamcemetery.com","elthamcemetery.com","103.42.110.40","elthamcemetery.com","True","False","Non-US (elthamcemetery.com)"
